t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
36.0,-0.415,0.020,-4.949,0.051,0.018,2,14,0,0.148,0,0,0.098,-2.916,-0.008,-5.090,-0.090,0.089,2,14,0,0.120,0,0,0.041,2.505,0.415,0,0,0.148,0.000,0.000,0.000,0.000
37.0,-0.505,0.050,-5.069,-0.069,0.050,2,14,0,0.180,0,0,0.067,-2.950,0.076,-5.037,-0.037,0.072,2,14,0,0.146,0,0,0.098,2.445,0.508,0,0,0.180,0.000,0.000,0.000,0.000
38.0,-0.593,0.081,-5.005,-0.005,0.049,2,14,0,0.156,0,0,0.130,-2.858,0.103,-4.970,0.030,0.053,2,14,0,0.137,0,0,0.097,2.265,0.599,0,0,0.156,0.000,0.000,0.000,0.000
39.0,-0.593,0.099,-5.032,-0.032,0.055,2,14,0,0.122,0,0,0.128,-2.724,0.094,-5.025,-0.025,0.046,2,14,0,0.148,0,0,0.175,2.131,0.601,0,0,0.148,0.000,0.000,0.000,0.000
40.0,-0.522,0.181,-5.005,-0.005,0.095,2,14,0,0.146,0,0,0.096,-2.693,0.086,-4.990,0.010,0.063,2,14,0,0.119,0,0,0.201,2.173,0.553,0,0,0.146,0.000,0.000,0.000,0.000
41.0,-0.414,0.149,-4.972,0.028,0.084,2,14,0,0.147,0,0,0.068,-2.818,0.057,-4.967,0.033,0.124,2,14,0,0.146,0,0,0.078,2.406,0.440,0,0,0.147,0.000,0.000,0.000,0.000
42.0,-0.393,0.105,-4.966,0.034,0.034,2,14,0,0.136,0,0,0.071,-2.958,-0.052,-4.981,0.019,0.108,2,14,0,0.158,0,0,0.099,2.569,0.407,0,0,0.158,0.000,0.000,0.000,0.000
43.0,-0.390,0.059,-5.012,-0.012,0.021,2,14,0,0.139,0,0,0.088,-3.000,-0.020,-4.949,0.051,0.016,2,14,0,0.156,0,0,0.125,2.612,0.394,0,0,0.156,0.000,0.000,0.000,0.000
44.0,-0.365,0.069,-4.974,0.026,0.029,2,14,0,0.149,0,0,0.105,-2.980,-0.061,-5.021,-0.021,0.044,2,14,0,0.152,0,0,0.124,2.618,0.372,0,0,0.152,0.000,0.000,0.000,0.000
45.0,-0.448,0.156,-5.006,-0.006,0.073,2,14,0,0.166,0,0,0.055,-2.875,-0.058,-4.999,0.001,0.080,2,14,0,0.160,0,0,0.067,2.437,0.474,0,0,0.166,0.000,0.000,0.000,0.000
46.0,-0.567,0.163,-5.008,-0.008,0.053,2,14,0,0.168,0,0,0.117,-2.788,-0.036,-5.027,-0.027,0.066,2,14,0,0.160,0,0,0.100,2.230,0.590,0,0,0.168,0.000,0.000,0.000,0.000
47.0,-0.641,0.120,-4.994,0.006,0.029,2,14,0,0.161,0,0,0.177,-2.765,-0.016,-5.056,-0.056,0.046,2,14,0,0.145,0,0,0.116,2.129,0.652,0,0,0.161,0.000,0.000,0.000,0.000
48.0,-0.518,0.110,-4.988,0.012,0.096,2,14,0,0.228,0,0,0.054,-2.799,0.063,-5.027,-0.027,0.077,2,14,0,0.190,0,0,0.096,2.281,0.530,0,0,0.228,0.000,0.000,0.000,0.000
49.0,-0.388,0.079,-5.005,-0.005,0.079,2,14,0,0.186,0,0,0.081,-2.922,0.044,-5.014,-0.014,0.069,2,14,0,0.144,0,0,0.057,2.535,0.396,0,0,0.186,0.000,0.000,0.000,0.000
50.0,-0.271,0.093,-4.972,0.028,0.024,2,14,0,0.157,0,0,0.194,-2.917,0.071,-5.046,-0.046,0.021,2,14,0,0.170,0,0,0.073,2.647,0.287,0,0,0.170,0.000,0.000,0.000,0.000
